127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/plugin_cs_monitor/css/bootstrap.min.css, HTTP/1.1, 304, 0.000255
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/plugin_cs_monitor/css/layout.css, HTTP/1.1, 304, 0.000723
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/plugin_cs_monitor/js/bootstrap.min.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/plugin_cs_monitor/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 304, 0.000338
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/images/favicon.ico, HTTP/1.1, 304, 0.000439
127.0.0.1, 2015-02-12 20:06:03, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.034323
127.0.0.1, 2015-02-12 20:06:04, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.045830
127.0.0.1, 2015-02-12 20:06:04, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.063476
127.0.0.1, 2015-02-12 20:06:10, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.027583
127.0.0.1, 2015-02-12 20:06:11, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.057407
127.0.0.1, 2015-02-12 20:06:11, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.078384
127.0.0.1, 2015-02-12 20:06:12, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.034543
127.0.0.1, 2015-02-12 20:06:12, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.034780
127.0.0.1, 2015-02-12 20:06:12, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.037943
127.0.0.1, 2015-02-12 20:06:13, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.027621
127.0.0.1, 2015-02-12 20:06:13, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.086749
127.0.0.1, 2015-02-12 20:06:13, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.087767
127.0.0.1, 2015-02-12 20:06:47, GET, /csc503/default/index, HTTP/1.1, 200, 0.069963
127.0.0.1, 2015-02-12 20:06:49, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.073752
127.0.0.1, 2015-02-12 20:06:49, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.112875
127.0.0.1, 2015-02-12 20:06:49, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.097462
127.0.0.1, 2015-02-12 20:07:08, GET, /csc503/plugin_cs_monitor/jobs, HTTP/1.1, 200, 0.049760
127.0.0.1, 2015-02-12 20:07:09, GET, /csc503/plugin_cs_monitor/jobs_render, HTTP/1.1, 200, 0.048070
127.0.0.1, 2015-02-12 20:07:10, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.028267
127.0.0.1, 2015-02-12 20:07:10, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.045821
127.0.0.1, 2015-02-12 20:07:10, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.065472
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/default/index, HTTP/1.1, 200, 0.020970
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/static/js/jquery.js, HTTP/1.1, 304, 0.001345
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/static/css/calendar.css, HTTP/1.1, 304, 0.000331
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/static/js/calendar.js, HTTP/1.1, 304, 0.000459
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/static/css/web2py.css, HTTP/1.1, 304, 0.001234
127.0.0.1, 2015-02-12 20:07:11, GET, /csc503/static/js/web2py.js, HTTP/1.1, 304, 0.001759
127.0.0.1, 2015-02-12 20:07:13, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.029261
127.0.0.1, 2015-02-12 20:07:13, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.073145
127.0.0.1, 2015-02-12 20:07:13, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.107022
127.0.0.1, 2015-02-12 20:07:19, GET, /csc503/plugin_cs_monitor/edit_task/0/new, HTTP/1.1, 200, 0.040530
127.0.0.1, 2015-02-12 20:07:28, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.042105
127.0.0.1, 2015-02-12 20:07:28, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.050659
127.0.0.1, 2015-02-12 20:07:28, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.067755
127.0.0.1, 2015-02-12 20:08:13, GET, /csc503/default/index, HTTP/1.1, 200, 0.026537
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.031118
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/stupidtable/stupidtable.min.js, HTTP/1.1, 200, 0.001885
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/underscore/underscore.min.js, HTTP/1.1, 200, 0.000955
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/moment/moment.min.js, HTTP/1.1, 200, 0.000822
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/datetimepicker/bootstrap-datetimepicker.min.js, HTTP/1.1, 200, 0.001028
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/datetimepicker/bootstrap-datetimepicker.min.css, HTTP/1.1, 200, 0.000450
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/c3/d3.v3.min.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/c3/c3.css, HTTP/1.1, 200, 0.002561
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/c3/c3.min.js, HTTP/1.1, 200, 0.001067
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/select2/select2-bootstrap.css, HTTP/1.1, 200, 0.001571
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/dagre/dagre-d3.min.js, HTTP/1.1, 200, 0.001083
127.0.0.1, 2015-02-12 20:08:18, GET, /csc503/static/plugin_cs_monitor/js/select2/select2.min.js, HTTP/1.1, 200, 0.000372
